date,airport_arrivals,airport_arrivals_lag1
2012-08-01,52434,52434
2012-08-02,52434,52434
2012-08-03,52434,52434
2012-08-04,52434,52434
2012-08-05,52434,52434
2012-08-06,52434,52434
2012-08-07,52434,52434
2012-08-08,52434,52434
2012-08-09,52434,52434
2012-08-10,52434,52434
2012-08-11,52434,52434
2012-08-12,52434,52434
2012-08-13,52434,52434
2012-08-14,52434,52434
2012-08-15,52434,52434
2012-08-16,52434,52434
2012-08-17,52434,52434
2012-08-18,52434,52434
2012-08-19,52434,52434
2012-08-20,52434,52434
2012-08-21,52434,52434
2012-08-22,52434,52434
2012-08-23,52434,52434
2012-08-24,52434,52434
2012-08-25,52434,52434
2012-08-26,52434,52434
2012-08-27,52434,52434
2012-08-28,52434,52434
2012-08-29,52434,52434
2012-08-30,52434,52434
2012-08-31,52434,52434
2012-09-01,52434,52434
2012-09-02,52434,52434
2012-09-03,52434,52434
2012-09-04,52434,52434
2012-09-05,52434,52434
2012-09-06,52434,52434
2012-09-07,52434,52434
2012-09-08,52434,52434
2012-09-09,52434,52434
2012-09-10,52434,52434
2012-09-11,52434,52434
2012-09-12,52434,52434
2012-09-13,52434,52434
2012-09-14,52434,52434
2012-09-15,52434,52434
2012-09-16,52434,52434
2012-09-17,52434,52434
2012-09-18,52434,52434
2012-09-19,52434,52434
2012-09-20,52434,52434
2012-09-21,52434,52434
2012-09-22,52434,52434
2012-09-23,52434,52434
2012-09-24,52434,52434
2012-09-25,52434,52434
2012-09-26,52434,52434
2012-09-27,52434,52434
2012-09-28,52434,52434
2012-09-29,52434,52434
2012-09-30,52434,52434
2012-10-01,52184,52434
2012-10-02,52184,52184
2012-10-03,52184,52184
2012-10-04,52184,52184
2012-10-05,52184,52184
2012-10-06,52184,52184
2012-10-07,52184,52184
2012-10-08,52184,52184
2012-10-09,52184,52184
2012-10-10,52184,52184
2012-10-11,52184,52184
2012-10-12,52184,52184
2012-10-13,52184,52184
2012-10-14,52184,52184
2012-10-15,52184,52184
2012-10-16,52184,52184
2012-10-17,52184,52184
2012-10-18,52184,52184
2012-10-19,52184,52184
2012-10-20,52184,52184
2012-10-21,52184,52184
2012-10-22,52184,52184
2012-10-23,52184,52184
2012-10-24,52184,52184
2012-10-25,52184,52184
2012-10-26,52184,52184
2012-10-27,52184,52184
2012-10-28,52184,52184
2012-10-29,52184,52184
2012-10-30,52184,52184
2012-10-31,52184,52184
2012-11-01,52184,52184
2012-11-02,52184,52184
2012-11-03,52184,52184
2012-11-04,52184,52184
2012-11-05,52184,52184
2012-11-06,52184,52184
2012-11-07,52184,52184
2012-11-08,52184,52184
2012-11-09,52184,52184
2012-11-10,52184,52184
2012-11-11,52184,52184
2012-11-12,52184,52184
2012-11-13,52184,52184
2012-11-14,52184,52184
2012-11-15,52184,52184
2012-11-16,52184,52184
2012-11-17,52184,52184
2012-11-18,52184,52184
2012-11-19,52184,52184
2012-11-20,52184,52184
2012-11-21,52184,52184
2012-11-22,52184,52184
2012-11-23,52184,52184
2012-11-24,52184,52184
2012-11-25,52184,52184
2012-11-26,52184,52184
2012-11-27,52184,52184
2012-11-28,52184,52184
2012-11-29,52184,52184
2012-11-30,52184,52184
2012-12-01,52184,52184
2012-12-02,52184,52184
2012-12-03,52184,52184
2012-12-04,52184,52184
2012-12-05,52184,52184
2012-12-06,52184,52184
2012-12-07,52184,52184
2012-12-08,52184,52184
2012-12-09,52184,52184
2012-12-10,52184,52184
2012-12-11,52184,52184
2012-12-12,52184,52184
2012-12-13,52184,52184
2012-12-14,52184,52184
2012-12-15,52184,52184
2012-12-16,52184,52184
2012-12-17,52184,52184
2012-12-18,52184,52184
2012-12-19,52184,52184
2012-12-20,52184,52184
2012-12-21,52184,52184
2012-12-22,52184,52184
2012-12-23,52184,52184
2012-12-24,52184,52184
2012-12-25,52184,52184
2012-12-26,52184,52184
2012-12-27,52184,52184
2012-12-28,52184,52184
2012-12-29,52184,52184
2012-12-30,52184,52184
2012-12-31,52184,52184
2013-01-01,53877,52184
2013-01-02,53877,53877
2013-01-03,53877,53877
2013-01-04,53877,53877
2013-01-05,53877,53877
2013-01-06,53877,53877
2013-01-07,53877,53877
2013-01-08,53877,53877
2013-01-09,53877,53877
2013-01-10,53877,53877
2013-01-11,53877,53877
2013-01-12,53877,53877
2013-01-13,53877,53877
2013-01-14,53877,53877
2013-01-15,53877,53877
2013-01-16,53877,53877
2013-01-17,53877,53877
2013-01-18,53877,53877
2013-01-19,53877,53877
2013-01-20,53877,53877
2013-01-21,53877,53877
2013-01-22,53877,53877
2013-01-23,53877,53877
2013-01-24,53877,53877
2013-01-25,53877,53877
2013-01-26,53877,53877
2013-01-27,53877,53877
2013-01-28,53877,53877
2013-01-29,53877,53877
2013-01-30,53877,53877
2013-01-31,53877,53877
2013-02-01,53877,53877
2013-02-02,53877,53877
2013-02-03,53877,53877
2013-02-04,53877,53877
2013-02-05,53877,53877
2013-02-06,53877,53877
2013-02-07,53877,53877
2013-02-08,53877,53877
2013-02-09,53877,53877
2013-02-10,53877,53877
2013-02-11,53877,53877
2013-02-12,53877,53877
2013-02-13,53877,53877
2013-02-14,53877,53877
2013-02-15,53877,53877
2013-02-16,53877,53877
2013-02-17,53877,53877
2013-02-18,53877,53877
2013-02-19,53877,53877
2013-02-20,53877,53877
2013-02-21,53877,53877
2013-02-22,53877,53877
2013-02-23,53877,53877
2013-02-24,53877,53877
2013-02-25,53877,53877
2013-02-26,53877,53877
2013-02-27,53877,53877
2013-02-28,53877,53877
2013-03-01,53877,53877
2013-03-02,53877,53877
2013-03-03,53877,53877
2013-03-04,53877,53877
2013-03-05,53877,53877
2013-03-06,53877,53877
2013-03-07,53877,53877
2013-03-08,53877,53877
2013-03-09,53877,53877
2013-03-10,53877,53877
2013-03-11,53877,53877
2013-03-12,53877,53877
2013-03-13,53877,53877
2013-03-14,53877,53877
2013-03-15,53877,53877
2013-03-16,53877,53877
2013-03-17,53877,53877
2013-03-18,53877,53877
2013-03-19,53877,53877
2013-03-20,53877,53877
2013-03-21,53877,53877
2013-03-22,53877,53877
2013-03-23,53877,53877
2013-03-24,53877,53877
2013-03-25,53877,53877
2013-03-26,53877,53877
2013-03-27,53877,53877
2013-03-28,53877,53877
2013-03-29,53877,53877
2013-03-30,53877,53877
2013-03-31,53877,53877
2013-04-01,55252,53877
2013-04-02,55252,55252
2013-04-03,55252,55252
2013-04-04,55252,55252
2013-04-05,55252,55252
2013-04-06,55252,55252
2013-04-07,55252,55252
2013-04-08,55252,55252
2013-04-09,55252,55252
2013-04-10,55252,55252
2013-04-11,55252,55252
2013-04-12,55252,55252
2013-04-13,55252,55252
2013-04-14,55252,55252
2013-04-15,55252,55252
2013-04-16,55252,55252
2013-04-17,55252,55252
2013-04-18,55252,55252
2013-04-19,55252,55252
2013-04-20,55252,55252
2013-04-21,55252,55252
2013-04-22,55252,55252
2013-04-23,55252,55252
2013-04-24,55252,55252
2013-04-25,55252,55252
2013-04-26,55252,55252
2013-04-27,55252,55252
2013-04-28,55252,55252
2013-04-29,55252,55252
2013-04-30,55252,55252
2013-05-01,55252,55252
2013-05-02,55252,55252
2013-05-03,55252,55252
2013-05-04,55252,55252
2013-05-05,55252,55252
2013-05-06,55252,55252
2013-05-07,55252,55252
2013-05-08,55252,55252
2013-05-09,55252,55252
2013-05-10,55252,55252
2013-05-11,55252,55252
2013-05-12,55252,55252
2013-05-13,55252,55252
2013-05-14,55252,55252
2013-05-15,55252,55252
2013-05-16,55252,55252
2013-05-17,55252,55252
2013-05-18,55252,55252
2013-05-19,55252,55252
2013-05-20,55252,55252
2013-05-21,55252,55252
2013-05-22,55252,55252
2013-05-23,55252,55252
2013-05-24,55252,55252
2013-05-25,55252,55252
2013-05-26,55252,55252
2013-05-27,55252,55252
2013-05-28,55252,55252
2013-05-29,55252,55252
2013-05-30,55252,55252
2013-05-31,55252,55252
2013-06-01,55252,55252
2013-06-02,55252,55252
2013-06-03,55252,55252
2013-06-04,55252,55252
2013-06-05,55252,55252
2013-06-06,55252,55252
2013-06-07,55252,55252
2013-06-08,55252,55252
2013-06-09,55252,55252
2013-06-10,55252,55252
2013-06-11,55252,55252
2013-06-12,55252,55252
2013-06-13,55252,55252
2013-06-14,55252,55252
2013-06-15,55252,55252
2013-06-16,55252,55252
2013-06-17,55252,55252
2013-06-18,55252,55252
2013-06-19,55252,55252
2013-06-20,55252,55252
2013-06-21,55252,55252
2013-06-22,55252,55252
2013-06-23,55252,55252
2013-06-24,55252,55252
2013-06-25,55252,55252
2013-06-26,55252,55252
2013-06-27,55252,55252
2013-06-28,55252,55252
2013-06-29,55252,55252
2013-06-30,55252,55252
2013-07-01,55630,55252
2013-07-02,55630,55630
2013-07-03,55630,55630
2013-07-04,55630,55630
2013-07-05,55630,55630
2013-07-06,55630,55630
2013-07-07,55630,55630
2013-07-08,55630,55630
2013-07-09,55630,55630
2013-07-10,55630,55630
2013-07-11,55630,55630
2013-07-12,55630,55630
2013-07-13,55630,55630
2013-07-14,55630,55630
2013-07-15,55630,55630
2013-07-16,55630,55630
2013-07-17,55630,55630
2013-07-18,55630,55630
2013-07-19,55630,55630
2013-07-20,55630,55630
2013-07-21,55630,55630
2013-07-22,55630,55630
2013-07-23,55630,55630
2013-07-24,55630,55630
2013-07-25,55630,55630
2013-07-26,55630,55630
2013-07-27,55630,55630
2013-07-28,55630,55630
2013-07-29,55630,55630
2013-07-30,55630,55630
2013-07-31,55630,55630
2013-08-01,55630,55630
2013-08-02,55630,55630
2013-08-03,55630,55630
2013-08-04,55630,55630
2013-08-05,55630,55630
2013-08-06,55630,55630
2013-08-07,55630,55630
2013-08-08,55630,55630
2013-08-09,55630,55630
2013-08-10,55630,55630
2013-08-11,55630,55630
2013-08-12,55630,55630
2013-08-13,55630,55630
2013-08-14,55630,55630
2013-08-15,55630,55630
2013-08-16,55630,55630
2013-08-17,55630,55630
2013-08-18,55630,55630
2013-08-19,55630,55630
2013-08-20,55630,55630
2013-08-21,55630,55630
2013-08-22,55630,55630
2013-08-23,55630,55630
2013-08-24,55630,55630
2013-08-25,55630,55630
2013-08-26,55630,55630
2013-08-27,55630,55630
2013-08-28,55630,55630
2013-08-29,55630,55630
2013-08-30,55630,55630
2013-08-31,55630,55630
2013-09-01,55630,55630
2013-09-02,55630,55630
2013-09-03,55630,55630
2013-09-04,55630,55630
2013-09-05,55630,55630
2013-09-06,55630,55630
2013-09-07,55630,55630
2013-09-08,55630,55630
2013-09-09,55630,55630
2013-09-10,55630,55630
2013-09-11,55630,55630
2013-09-12,55630,55630
