date,cruise_ship_flag,ships_in_port_count,cruise_passenger_estimate
2027-04-10,1,1,2000
2027-04-22,1,1,2000
2027-04-24,1,1,2000
2027-05-01,1,1,2000
2027-05-02,1,1,2000
2027-05-04,1,1,2000
2027-05-09,1,1,2000
2027-05-10,1,1,2000
2027-05-11,1,1,2000
2027-05-12,1,1,2000
2027-05-14,1,1,2000
2027-05-16,1,1,2000
2027-05-18,1,1,2000
2027-05-19,1,1,2000
2027-05-22,1,1,2000
2027-05-24,1,1,2000
2027-05-27,1,1,2000
2027-05-29,1,1,2000
2027-05-31,1,1,2000
2027-06-01,1,1,2000
2027-06-02,1,1,2000
2027-06-05,1,1,2000
2027-06-06,1,1,2000
2027-06-08,1,1,2000
2027-06-09,1,1,2000
2027-06-11,1,1,2000
2027-06-13,1,1,2000
2027-06-15,1,1,2000
2027-06-19,1,1,2000
2027-06-20,1,1,2000
2027-06-23,1,1,2000
2027-06-24,1,1,2000
2027-06-26,1,1,2000
2027-06-27,1,1,2000
2027-06-29,1,1,2000
2027-07-02,1,1,2000
2027-07-10,1,1,2000
2027-07-11,1,1,2000
2027-07-13,1,1,2000
2027-07-14,1,1,2000
2027-07-15,1,1,2000
2027-07-16,1,1,2000
2027-07-21,1,1,2000
2027-07-22,1,1,2000
2027-07-25,1,1,2000
2027-07-27,1,1,2000
2027-07-28,1,1,2000
2027-07-30,1,1,2000
2027-08-02,1,1,2000
2027-08-04,1,1,2000
2027-08-06,1,1,2000
2027-08-07,1,1,2000
2027-08-08,1,1,2000
2027-08-09,1,1,2000
2027-08-10,1,1,2000
2027-08-11,1,1,2000
2027-08-12,1,1,2000
2027-08-14,1,1,2000
2027-08-15,1,1,2000
2027-08-17,1,1,2000
2027-08-20,1,1,2000
2027-08-21,1,1,2000
2027-08-22,1,1,2000
2027-08-26,1,1,2000
2027-08-27,1,1,2000
2027-08-29,1,1,2000
2027-08-30,1,1,2000
2027-08-31,1,1,2000
2027-09-02,1,1,2000
2027-09-05,1,1,2000
2027-09-06,1,1,2000
2027-09-07,1,1,2000
2027-09-08,1,1,2000
2027-09-09,1,1,2000
2027-09-11,1,1,2000
2027-09-12,1,1,2000
2027-09-13,1,1,2000
2027-09-14,1,1,2000
2027-09-15,1,1,2000
2027-09-21,1,1,2000
2027-09-23,1,1,2000
2027-09-26,1,1,2000
2028-03-26,1,1,2000
2028-03-28,1,1,2000
2028-04-03,1,1,2000
