feature,importance,importance_pct
st_patricks_week_flag,84897.4765625,34.69537725534447
orders_count_same_slot_4w_avg,30865.57421875,12.61395255881361
orders_count_lag_168h,27852.767578125,11.382697317476277
is_friday_saturday,12683.19140625,5.1832884610843655
orders_count_lag_24h,9133.8291015625,3.732756959286742
event_intensity,5081.30908203125,2.076598064988362
major_sports_event_flag,5045.30126953125,2.0618826141951043
weekday_cos,4632.4345703125,1.8931547972379312
orders_count_lag_336h,4514.71044921875,1.8450440293001518
city_event_flag,4473.474609375,1.8281920205273514
aviva_event_flag,3590.205078125,1.4672228746151117
orders_count_roll_mean_24,3339.192138671875,1.3646404542308297
month_sin,2780.252685546875,1.1362165248718539
month,2517.106201171875,1.028675442162677
week_of_year,2286.441650390625,0.9344088757954376
weekday,2048.762939453125,0.8372758057038937
special_event_flag,2013.4761962890625,0.8228550370808323
orders_count_lag_48h,1822.0806884765625,0.7446367010665189
food_tickets_count_roll_mean_24,1698.271728515625,0.6940392186987807
hour_sin,1696.228759765625,0.6932043108266963
new_years_day_flag,1632.38427734375,0.6671127414068627
hour,1289.987060546875,0.5271839580206805
is_live_music_window,1242.4100341796875,0.5077404722383696
month_cos,1218.436767578125,0.497943225459523
college_term_flag,1188.9881591796875,0.4859083497553375
weekend_x_music,1178.0213623046875,0.48142650682823057
hours_since_food_close,1120.334228515625,0.4578512846822862
bank_holiday_flag,1099.3123779296875,0.44926020440267805
food_tickets_count_same_slot_4w_avg,1096.775634765625,0.4482235038476
weekday_sin,1065.70703125,0.43552657852759036
orders_count_roll_std_24,1017.3050537109375,0.41574595678689363
christmas_market_flag,1013.1465454101562,0.4140464832553232
is_lunch_window,955.0161743164062,0.3902901216206396
is_dinner_window,917.1424560546875,0.3748121239656023
orders_count_roll_mean_168,867.8483276367188,0.3546669035045943
hour_cos,829.0226440429688,0.3387998625273504
days_from_payday,826.41259765625,0.33773320486321484
food_tickets_count_lag_24h,720.2850952148438,0.29436167153311216
food_tickets_count_roll_mean_168,714.2520751953125,0.2918961341103056
food_tickets_count_lag_48h,711.7122802734375,0.29085818638166155
temp_c,670.9756469726562,0.2742101902608024
suffolk_footfall_lag_24h,666.5933837890625,0.2724192739633661
summer_tourism_flag,613.407958984375,0.2506837824882347
suffolk_footfall_roll_24h,603.3323974609375,0.24656616412936927
airport_arrivals_zscore,586.266845703125,0.23959191966084234
food_tickets_count_lag_336h,573.7128295898438,0.23446142176201126
airport_arrivals,573.08642578125,0.23420542691583532
food_tickets_count_lag_168h,568.4015502929688,0.23229084088758545
suffolk_footfall_lag_168h,558.4008178710938,0.22820380322456058
wind_speed_kmh,555.0048217773438,0.2268159484802138
rain_x_weekend,542.12255859375,0.22155130459261393
rain_mm,541.6969604492188,0.2213773737670868
new_years_eve_flag,511.3461608886719,0.2089737961415576
quarter,509.8184509277344,0.2083494610543721
airport_arrivals_lag1,489.79522705078125,0.20016649338079617
payday_period_flag,485.9615783691406,0.19859978147533622
school_holiday_flag,442.9866638183594,0.18103705837416278
bloomsday_week_flag,417.4159240722656,0.17058696612040986
is_food_service,414.8785400390625,0.16955000365888298
is_weekend,402.7721252441406,0.16460242870699057
tourism_pressure,275.8165283203125,0.11271899814699092
is_breakfast_window,13.533447265625,0.005530765783132512
