feature,importance,importance_pct
st_patricks_week_flag,47100.1875,28.189809415718514
food_tickets_count_same_slot_4w_avg,39714.66796875,23.769521534231757
food_tickets_count_lag_168h,12499.8564453125,7.481256224663651
is_friday_saturday,5417.662109375,3.242510708519808
weekday_sin,4693.6513671875,2.809184942307125
food_tickets_count_lag_24h,4691.63134765625,2.8079759457271867
event_intensity,3419.256591796875,2.0464502750905855
orders_count_roll_mean_24,2461.737548828125,1.4733680695641158
weekday_cos,2303.4775390625,1.3786482871126613
orders_count_roll_std_24,2120.69970703125,1.2692544073031775
event_impact_score,2075.201171875,1.2420231986217034
is_lunch_window,1872.7039794921875,1.1208271362814086
tv_sports_intensity,1858.3253173828125,1.11222140101727
orders_count_same_slot_4w_avg,1649.648193359375,0.9873266040349657
weekday,1508.2706298828125,0.9027110901357284
food_tickets_count_lag_48h,1486.798095703125,0.8898596201453404
food_tickets_count_roll_mean_24,1459.7237548828125,0.8736554275870664
week_of_year,1437.952392578125,0.8606251067610674
hour,1369.1773681640625,0.8194627476771719
month_sin,1331.6600341796875,0.7970083467301399
orders_count_lag_168h,1235.314208984375,0.7393446601417161
orders_count_lag_24h,1194.2545166015625,0.7147701315808794
match_kickoff_proximity,1181.258056640625,0.7069916544914232
tv_sports_flag,1152.093017578125,0.6895361636237093
month,1130.0638427734375,0.676351540116007
hour_sin,949.8939819335938,0.5685185502891252
food_tickets_count_lag_336h,875.8331298828125,0.5241925844004066
special_event_flag,867.1054077148438,0.5189689783468557
bank_holiday_flag,858.0303955078125,0.5135375166448927
orders_count_lag_48h,839.9342041015625,0.5027068126929699
temp_c,829.3427124023438,0.4963677268362705
is_ireland_match_window,821.8541870117188,0.4918857891886446
christmas_market_flag,796.3026733398438,0.4765930199041639
wind_speed_kmh,714.472412109375,0.42761700534954306
is_dinner_window,634.491943359375,0.3797481052301469
summer_tourism_flag,600.3362426757812,0.3593056665937649
orders_count_roll_mean_168,599.154052734375,0.35859811719937196
college_term_flag,596.0869750976562,0.35676244862496737
suffolk_footfall_roll_24h,595.6993408203125,0.356530446652548
month_cos,588.320068359375,0.3521138976886933
orders_count_lag_336h,587.9518432617188,0.3518935122533908
airport_arrivals_zscore,582.8341064453125,0.348830509043599
hour_cos,581.97314453125,0.3483152169914896
major_sports_event_flag,581.3274536132812,0.34792876621740293
food_tickets_count_roll_mean_168,580.8658447265625,0.3476524898959721
suffolk_footfall_lag_24h,578.7854614257812,0.34640736515500015
is_weekend,577.565673828125,0.34567731328619206
days_from_payday,554.2220458984375,0.3317059798937436
rain_x_weekend,548.540283203125,0.32830540303773426
suffolk_footfall_lag_168h,531.6843872070312,0.31821702503157334
bloomsday_week_flag,522.3792724609375,0.31264784526379064
rain_mm,519.3883056640625,0.3108577295880802
airport_arrivals,450.3166198730469,0.26951781648325185
tourism_pressure,447.265380859375,0.26769162744149455
payday_period_flag,407.2762756347656,0.24375785318662874
quarter,396.3222961425781,0.2372018157137746
city_event_flag,385.343994140625,0.23063122103953348
school_holiday_flag,360.7080993652344,0.21588645641404322
airport_arrivals_lag1,355.4388122558594,0.21273274923676325
